æ, actor
ɪ, toy
ə, whole
b, borrow
n, relationship
d, loudly
l, will
t, write
i, queen
e, saving
ɛ, strength
ʊ, fun
ʌ, multiply
v, virtual
ɹ, crazy
ɔ, abroad
ː, thirteen
s, worse
ˌ, absolute
j, institution
u, who
k, welcome
m, primary
p, spot
ɒ, geography
ʃ, teaching
a, frighten
z, thousand
ʒ, acknowledge
w, equally
ɑ, guitar
ɚ, adventure
ɜ, working
ŋ, smoking
f, perfect
ɾ, afternoon
ʉ, due
ɡ, struggle
h, himself
ð, this
θ, anything
ʔ, app
ɐ, bath
o, borrow
ɫ, bowl
ɘ, quarter
ʰ, camp
ɝ, certain
ɨ, distribute
ʍ, elsewhere
r, first
ɵ, girl
ä, grass
ŏ, how
ɚ, adventure
ɞ, understand
