æ, actor
ɪ, toy
ə, whole
b, feedback
n, relationship
d, secondly
l, will
t, write
i, queen
e, saving
̩, button
ɛ, strength
ʊ, fun
ʌ, multiply
v, reservation
ɹ, therapy
ɔ, abroad
ː, thirteen
s, worse
ˌ, absolute
j, institution
u, who
k, welcome
m, primary
p, spot
ɒ, geography
ʃ, teaching
a, frighten
z, thousand
ʒ, acknowledge
w, equally
ɑ, guitar
͡, chest
ɚɚ, adventure
ɜ, working
ŋ, smoking
f, perfect
ɾ, afternoon
ʉ, due
ɡ, struggle
h, himself
ð, this
θ, anything
[, passion
ʔ, app
̚, app
], app
̯, area
ɐ, bath
o, borrow
ɫ, bowl
ɘ, quarter
ʰ, camp
ɝ, certain
ɨ, distribute
ʍ, elsewhere
r, first
ʷ, football
ɵ, girl
̠, grass
ä, grass
ŏ, how
̈, orange
ɚ, adventure
̥, slight
ɞ, understand
̬, vital
